1.0000000  0.0000000
0.9500023 -0.0038300
0.9000045 -0.0075600
0.8500068 -0.0111900
0.8000090 -0.0149200
0.7500111 -0.0185500
0.7000133 -0.0221800
0.6500152 -0.0254100
0.6000172 -0.0287399
0.5500188 -0.0314699
0.5000202 -0.0337999
0.4500213 -0.0355290
0.4000220 -0.0367600
0.3500222 -0.0370900
0.3000220 -0.0368200
0.2500211 -0.0353500
0.2000195 -0.0326800
0.1500173 -0.0291100
0.1250160 -0.0268250
0.1000147 -0.0247400
0.0750135 -0.0226550
0.0500122 -0.0205700
0.0300112 -0.0189820
0.0200104 -0.0175880
0.0100089 -0.0150940
0.0000000  0.0000000
0.0099884  0.0192060
0.0199836  0.0270120
0.0299799  0.0331180
0.0499741  0.0428300
0.0749690  0.0514449
0.0999656  0.0570598
0.1249631  0.0612748
0.1499614  0.0641899
0.1999602  0.0662197
0.2499603  0.0659497
0.2999610  0.0649799
0.3499621  0.0630098
0.3999636  0.0605399
0.4499654  0.0574699
0.4999677  0.0536999
0.5499704  0.0493299
0.5999732  0.0446599
0.6499763  0.0394899
0.6999798  0.0337199
0.7499831  0.0281499
0.7999862  0.0229800
0.8499898  0.0170100
0.8999931  0.0115400
0.9499966  0.0056700
1.0000000  0.0000000
